2014-06-15 10:02:36,818 | a | 2
2014-06-15 10:04:04,099 | a | 2
2014-06-15 10:04:42,454 | a | 3
2014-06-15 10:05:16,361 | a | 4
2014-06-15 10:05:49,902 | d | 3
2014-06-15 10:06:24,236 | a | 4
2014-06-15 10:06:58,690 | d | 3
2014-06-15 10:07:32,908 | a | 4
2014-06-15 10:08:07,130 | d | 3
2014-06-15 10:08:41,750 | a | 4
2014-06-15 10:09:16,499 | d | 3
2014-06-15 10:09:50,725 | a | 4
2014-06-15 10:10:23,899 | d | 3
2014-06-15 10:10:56,896 | a | 4
2014-06-15 10:11:29,850 | d | 3
2014-06-15 10:12:06,060 | a | 4
2014-06-15 10:12:40,716 | d | 3
2014-06-15 10:13:15,861 | a | 4
2014-06-15 10:13:51,773 | d | 3
2014-06-15 10:14:28,308 | a | 4
2014-06-15 10:15:04,813 | d | 3
2014-06-15 10:15:41,128 | d | 2
2014-06-15 10:16:24,154 | d | 1
2014-06-15 10:17:01,023 | m | 1
2014-06-15 10:17:37,886 | m | 1
2014-06-15 10:18:14,103 | m | 1
2014-06-15 10:18:52,766 | m | 1
2014-06-15 10:19:30,044 | m | 1
2014-06-15 10:20:06,125 | a | 2
2014-06-15 10:20:43,345 | m | 2
2014-06-15 10:21:21,282 | d | 1
2014-06-15 10:21:59,674 | m | 1
2014-06-15 10:22:36,622 | m | 1
2014-06-15 10:23:14,546 | m | 1
2014-06-15 10:23:52,645 | a | 2
2014-06-15 10:24:30,849 | a | 3
2014-06-15 10:25:08,645 | d | 2
2014-06-15 10:25:47,430 | d | 1
2014-06-15 10:26:26,902 | m | 1
2014-06-15 10:27:06,674 | m | 1
2014-06-15 10:27:45,443 | m | 1
2014-06-15 10:28:29,787 | m | 1
2014-06-15 10:29:19,974 | a | 2
2014-06-15 10:29:59,803 | a | 3
2014-06-15 10:30:40,054 | a | 4
2014-06-15 10:31:21,145 | m | 4
2014-06-15 10:32:01,687 | m | 4
2014-06-15 10:32:41,063 | d | 3
2014-06-15 10:33:20,035 | d | 2
2014-06-15 10:33:59,791 | m | 2
2014-06-15 10:34:40,517 | a | 3
2014-06-15 10:35:21,147 | d | 2
2014-06-15 10:36:02,005 | a | 3
2014-06-15 10:36:43,175 | a | 4
2014-06-15 10:37:24,031 | m | 4
2014-06-15 10:38:03,906 | m | 4
2014-06-15 10:38:43,489 | m | 4
2014-06-15 10:39:22,496 | d | 3
2014-06-15 10:40:01,955 | d | 2
2014-06-15 10:40:40,407 | d | 1
2014-06-15 10:41:19,431 | m | 1
2014-06-15 10:41:58,021 | m | 1
