2014-06-15 10:02:36,807|,2
2014-06-15 10:04:04,085|0
2014-06-15 10:04:42,447|50,4
2014-06-15 10:05:16,345|40,7
2014-06-15 10:05:49,890|40,5
2014-06-15 10:06:24,223|56
2014-06-15 10:06:58,679|31,2
2014-06-15 10:07:32,895|19,9
2014-06-15 10:08:07,119|10,0
2014-06-15 10:08:41,733|29,7
2014-06-15 10:09:16,487|16,0
2014-06-15 10:09:50,705|,2
2014-06-15 10:10:23,892|,1
2014-06-15 10:10:56,888|0
2014-06-15 10:11:29,842|0
2014-06-15 10:12:06,052|0
2014-06-15 10:12:40,709|1,2
2014-06-15 10:13:15,853|,4
2014-06-15 10:13:51,766|0
2014-06-15 10:14:28,301|0
2014-06-15 10:15:04,805|0
2014-06-15 10:15:41,120|0
2014-06-15 10:16:24,146|0
2014-06-15 10:17:01,015|,2
2014-06-15 10:17:37,869|0
2014-06-15 10:18:14,095|15,3
2014-06-15 10:18:52,751|65,3
2014-06-15 10:19:30,030|41,3
2014-06-15 10:20:06,118|71,0
2014-06-15 10:20:43,329|69,7
2014-06-15 10:21:21,271|45,4
2014-06-15 10:21:59,659|42,0
2014-06-15 10:22:36,614|12,9
2014-06-15 10:23:14,531|67,6
2014-06-15 10:23:52,633|90,8
2014-06-15 10:24:30,833|73,7
2014-06-15 10:25:08,630|60,0
2014-06-15 10:25:47,417|30,4
2014-06-15 10:26:26,886|13,0
2014-06-15 10:27:06,661|1,9
2014-06-15 10:27:45,435|10,5
2014-06-15 10:28:29,776|69,0
2014-06-15 10:29:19,787|99,7
2014-06-15 10:29:59,789|99,7
2014-06-15 10:30:40,039|99,9
2014-06-15 10:31:21,131|99,7
2014-06-15 10:32:01,677|99,4
2014-06-15 10:32:41,051|40,0
2014-06-15 10:33:20,028|9,4
2014-06-15 10:33:59,784|66,3
2014-06-15 10:34:40,502|99,8
2014-06-15 10:35:21,137|56,0
2014-06-15 10:36:01,991|78,8
2014-06-15 10:36:43,161|99,5
2014-06-15 10:37:24,018|99,7
2014-06-15 10:38:03,899|99,6
2014-06-15 10:38:43,482|99,8
2014-06-15 10:39:22,489|29,9
2014-06-15 10:40:01,945|,1
2014-06-15 10:40:40,399|20,6
2014-06-15 10:41:19,423|24,8
2014-06-15 10:41:58,013|0
