2014-06-10 17:53:16,581 | m | 1
2014-06-10 17:54:46,581 | m | 1
2014-06-10 17:55:33,251 | m | 1
2014-06-10 17:55:43,620 | m | 1
2014-06-10 17:55:53,794 | m | 1
2014-06-10 17:56:03,935 | m | 1
2014-06-10 17:56:14,330 | m | 1
2014-06-10 17:56:24,493 | m | 1
2014-06-10 17:56:34,732 | m | 1
2014-06-10 17:56:44,909 | m | 1
2014-06-10 17:56:55,043 | m | 1
2014-06-10 17:57:05,244 | m | 1
2014-06-10 17:57:15,390 | m | 1
2014-06-10 17:57:25,557 | m | 1
2014-06-10 17:57:36,615 | m | 1
2014-06-10 17:57:47,609 | m | 1
2014-06-10 17:57:58,355 | m | 1
2014-06-10 17:58:09,634 | m | 1
2014-06-10 17:58:20,508 | m | 1
2014-06-10 17:58:31,267 | m | 1
2014-06-10 17:58:42,396 | m | 1
2014-06-10 17:58:53,734 | m | 1
2014-06-10 17:59:04,612 | m | 1
2014-06-10 17:59:15,824 | m | 1
2014-06-10 17:59:26,826 | a | 2
2014-06-10 17:59:37,533 | m | 2
2014-06-10 17:59:48,162 | d | 1
2014-06-10 17:59:59,357 | m | 1
2014-06-10 18:00:10,420 | m | 1
2014-06-10 18:00:21,169 | m | 1
2014-06-10 18:00:31,879 | m | 1
2014-06-10 18:00:42,989 | a | 2
2014-06-10 18:00:53,720 | d | 1
2014-06-10 18:01:09,069 | a | 2
2014-06-10 18:01:19,732 | m | 2
2014-06-10 18:01:30,510 | m | 2
2014-06-10 18:01:41,345 | m | 2
2014-06-10 18:01:51,935 | m | 2
2014-06-10 18:02:02,549 | d | 1
2014-06-10 18:02:13,176 | m | 1
2014-06-10 18:02:23,712 | m | 1
2014-06-10 18:02:34,316 | m | 1
2014-06-10 18:02:44,837 | m | 1
2014-06-10 18:02:55,310 | a | 2
2014-06-10 18:03:05,952 | m | 2
2014-06-10 18:03:16,261 | m | 2
2014-06-10 18:03:26,469 | m | 2
2014-06-10 18:03:36,803 | d | 1
2014-06-10 18:03:47,412 | m | 1
2014-06-10 18:03:57,825 | m | 1
2014-06-10 18:04:08,249 | m | 1
2014-06-10 18:04:18,644 | m | 1
2014-06-10 18:04:29,438 | m | 1
2014-06-10 18:04:40,680 | m | 1
2014-06-10 18:04:51,589 | m | 1
2014-06-10 18:05:03,096 | m | 1
2014-06-10 18:05:14,501 | m | 1
2014-06-10 18:05:25,892 | m | 1
2014-06-10 18:05:38,284 | m | 1
2014-06-10 18:05:49,483 | m | 1
2014-06-10 18:06:00,838 | m | 1
2014-06-10 18:06:12,163 | m | 1
2014-06-10 18:06:23,456 | m | 1
2014-06-10 18:06:34,391 | m | 1
2014-06-10 18:06:46,100 | m | 1
2014-06-10 18:06:57,403 | a | 2
2014-06-10 18:07:10,621 | m | 2
2014-06-10 18:07:22,741 | m | 2
2014-06-10 18:07:33,741 | m | 2
2014-06-10 18:07:45,717 | m | 2
2014-06-10 18:07:56,866 | m | 2
2014-06-10 18:08:08,106 | m | 2
2014-06-10 18:08:19,440 | m | 2
2014-06-10 18:08:30,219 | m | 2
2014-06-10 18:08:40,782 | m | 2
2014-06-10 18:08:51,345 | d | 1
2014-06-10 18:09:02,106 | m | 1
2014-06-10 18:09:13,423 | m | 1
2014-06-10 18:09:24,440 | m | 1
2014-06-10 18:09:35,393 | m | 1
2014-06-10 18:09:46,288 | m | 1
2014-06-10 18:09:57,376 | m | 1
2014-06-10 18:10:08,471 | a | 2
2014-06-10 18:10:19,889 | m | 2
2014-06-10 18:10:30,556 | m | 2
2014-06-10 18:10:41,302 | m | 2
2014-06-10 18:10:51,973 | m | 2
2014-06-10 18:11:03,520 | d | 1
2014-06-10 18:11:24,250 | m | 1
2014-06-10 18:11:35,422 | m | 1
2014-06-10 18:11:46,489 | m | 1
2014-06-10 18:12:02,511 | m | 1
2014-06-10 18:12:13,523 | m | 1
2014-06-10 18:12:24,530 | m | 1
2014-06-10 18:12:35,650 | m | 1
2014-06-10 18:12:46,881 | m | 1
2014-06-10 18:12:58,639 | m | 1
2014-06-10 18:13:10,222 | m | 1
2014-06-10 18:13:22,046 | m | 1
2014-06-10 18:13:34,280 | m | 1
2014-06-10 18:13:46,108 | m | 1
2014-06-10 18:13:58,721 | m | 1
2014-06-10 18:14:11,414 | a | 2
2014-06-10 18:14:23,561 | m | 2
2014-06-10 18:14:36,302 | m | 2
2014-06-10 18:14:48,244 | m | 2
2014-06-10 18:15:00,716 | m | 2
2014-06-10 18:15:11,816 | m | 2
2014-06-10 18:15:22,980 | d | 1
2014-06-10 18:15:34,926 | m | 1
2014-06-10 18:15:46,741 | m | 1
2014-06-10 18:15:58,636 | m | 1
2014-06-10 18:16:09,871 | m | 1
2014-06-10 18:16:21,045 | m | 1
2014-06-10 18:16:32,240 | a | 2
2014-06-10 18:16:44,418 | m | 2
2014-06-10 18:16:56,854 | d | 1
2014-06-10 18:17:08,293 | m | 1
2014-06-10 18:17:20,211 | m | 1
2014-06-10 18:17:32,173 | m | 1
2014-06-10 18:17:44,376 | a | 2
2014-06-10 18:17:55,700 | m | 2
2014-06-10 18:18:07,545 | m | 2
2014-06-10 18:18:19,756 | m | 2
2014-06-10 18:18:32,118 | d | 1
2014-06-10 18:18:44,324 | m | 1
2014-06-10 18:18:55,568 | m | 1
2014-06-10 18:19:07,890 | m | 1
2014-06-10 18:19:20,145 | m | 1
2014-06-10 18:19:31,840 | a | 2
2014-06-10 18:19:44,320 | m | 2
2014-06-10 18:19:56,904 | m | 2
2014-06-10 18:20:09,550 | m | 2
2014-06-10 18:20:22,278 | m | 2
2014-06-10 18:20:33,909 | m | 2
2014-06-10 18:20:46,171 | m | 2
2014-06-10 18:20:58,819 | m | 2
2014-06-10 18:21:11,431 | m | 2
2014-06-10 18:21:23,932 | m | 2
2014-06-10 18:21:36,323 | m | 2
2014-06-10 18:21:48,773 | m | 2
2014-06-10 18:22:01,511 | m | 2
2014-06-10 18:22:14,100 | m | 2
2014-06-10 18:22:26,666 | m | 2
2014-06-10 18:22:39,447 | m | 2
2014-06-10 18:22:50,902 | m | 2
2014-06-10 18:23:02,373 | m | 2
2014-06-10 18:23:14,896 | d | 1
2014-06-10 18:23:27,308 | m | 1
2014-06-10 18:23:40,403 | m | 1
2014-06-10 18:23:52,942 | m | 1
2014-06-10 18:24:05,644 | m | 1
2014-06-10 18:24:23,168 | a | 2
2014-06-10 18:24:35,881 | m | 2
2014-06-10 18:24:48,515 | m | 2
2014-06-10 18:25:01,442 | m | 2
2014-06-10 18:25:14,252 | m | 2
2014-06-10 18:25:26,131 | m | 2
2014-06-10 18:25:37,762 | m | 2
2014-06-10 18:25:50,328 | d | 1
2014-06-10 18:26:03,232 | m | 1
2014-06-10 18:26:14,857 | m | 1
2014-06-10 18:26:31,480 | m | 1
2014-06-10 18:26:48,163 | m | 1
2014-06-10 18:27:01,202 | m | 1
2014-06-10 18:27:14,260 | m | 1
2014-06-10 18:27:27,006 | m | 1
2014-06-10 18:27:38,554 | m | 1
2014-06-10 18:27:50,315 | m | 1
2014-06-10 18:28:02,002 | m | 1
2014-06-10 18:28:13,652 | m | 1
2014-06-10 18:28:25,566 | m | 1
2014-06-10 18:28:37,450 | m | 1
2014-06-10 18:28:49,416 | m | 1
2014-06-10 18:29:01,837 | m | 1
2014-06-10 18:29:14,412 | m | 1
2014-06-10 18:29:26,652 | m | 1
