20:26:49,1|1|0|0|0|0|0
20:30:35,6|1|0|0|0|0|0
20:30:47,4|1|0,5|0,5|2|2|1
20:31:07,1|1|0,333333333|0,333333333|3|3|1
20:31:19,5|1|0,25|0,25|4|4|1
20:31:32,0|1|0|0|0|0|0
20:31:44,4|1|-0,333333333|-0,333333333|-3|-3|1
20:31:56,8|1|0,25|0,25|4|4|1
20:32:09,2|1,25|0|0,2|0|6,25|0
20:33:21,8|1,5|0|0,166666667|0|9|0
20:33:33,4|1,666666667|-0,333333333|-0,2|-5|-8,333333333|1,666666667
20:33:45,3|2|-0,5|-0,25|-4|-8|2
20:33:57,1|3|-1|-0,333333333|-3|-9|3
20:34:09,1|3|0|0|0|0|0
20:34:21,4|2|0,5|0,25|4|8|2
20:34:34,1|1,666666667|0,333333333|0,2|5|8,333333333|1,666666667
20:34:46,8|1,5|0,25|0,166666667|6|9|1,5
20:34:59,4|1,75|0|0,142857143|0|12,25|0
20:35:11,8|1,75|0|0|0|0|0
20:35:24,5|2|-0,333333333|-0,166666667|-6|-12|2
20:35:37,1|2,5|-0,5|-0,2|-5|-12,5|2,5
20:35:50,0|4|-1|-0,25|-4|-16|4
20:36:02,8|3|0|-0,333333333|0|-9|0
20:36:15,0|2|0,5|0,25|4|8|2
20:36:26,7|2|0|0|0|0|0
20:36:50,9|2|0|0|0|0|0
20:37:03,1|3|-1|-0,333333333|-3|-9|3
20:37:15,0|3|0|0|0|0|0
20:38:03,2|2|0|-0,5|0|-4|0
