2014-06-15 10:27:06,674 | m | 1
2014-06-15 10:27:45,443 | m | 1
2014-06-15 10:28:29,787 | m | 1
2014-06-15 10:29:19,974 | a | 2
2014-06-15 10:29:59,803 | a | 3
2014-06-15 10:30:40,054 | a | 4
2014-06-15 10:31:21,145 | m | 4
2014-06-15 10:32:01,687 | m | 4
2014-06-15 10:32:41,063 | d | 3
2014-06-15 10:33:20,035 | d | 2
2014-06-15 10:33:59,791 | m | 2
2014-06-15 10:34:40,517 | a | 3
2014-06-15 10:35:21,147 | d | 2
2014-06-15 10:36:02,005 | a | 3
2014-06-15 10:36:43,175 | a | 4
2014-06-15 10:37:24,031 | m | 4
2014-06-15 10:38:03,906 | m | 4
2014-06-15 10:38:43,489 | m | 4
2014-06-15 10:39:22,496 | d | 3
2014-06-15 10:40:01,955 | d | 2
2014-06-15 10:40:40,407 | d | 1
2014-06-15 10:41:19,431 | m | 1
2014-06-15 10:41:58,021 | m | 1
