12:15:05|1|0|0|0|0|0
12:18:06|1|0|0|0|0|0
12:18:09|1|0,5|0,5|2|2|1
12:18:19|1|0,333333333|0,333333333|3|3|1
12:18:22|1|0,25|0,25|4|4|1
12:18:25|1,25|0|0,2|0|6,25|0
12:20:26|1,25|0|0|0|0|0
12:20:30|1,333333333|-0,333333333|-0,25|-4|-5,333333333|1,333333333
12:20:33|1,5|-0,5|-0,333333333|-3|-4,5|1,5
12:20:37|2|-1|-0,5|-2|-4|2
12:20:40|1|0|-1|0|-1|0
12:25:04|1|0|0|0|0|0
12:25:08|1|0,5|0,5|2|2|1
12:25:12|1|0,333333333|0,333333333|3|3|1
12:25:16|1|0,25|0,25|4|4|1
12:25:20|1,25|0|0,2|0|6,25|0
12:26:09|1,25|0|0|0|0|0
12:26:12|1,333333333|-0,333333333|-0,25|-4|-5,333333333|1,333333333
12:26:16|1,5|-0,5|-0,333333333|-3|-4,5|1,5
12:26:19|2|-1|-0,5|-2|-4|2
12:26:23|1|0|-1|0|-1|0
12:27:17|1|0|0|0|0|0
12:27:20|1|0,5|0,5|2|2|1
12:27:24|1|0,333333333|0,333333333|3|3|1
12:27:28|1|0,25|0,25|4|4|1
12:27:32|1,25|0|0,2|0|6,25|0
12:27:58|1,25|0|0|0|0|0
12:28:02|1,333333333|-0,333333333|-0,25|-4|-5,333333333|1,333333333
12:28:06|1,5|-0,5|-0,333333333|-3|-4,5|1,5
12:28:10|2|-1|-0,5|-2|-4|2
12:28:14|1|0|-1|0|-1|0
12:28:47|1|0|0|0|0|0
12:28:52|1|0,5|0,5|2|2|1
12:28:56|1|0,333333333|0,333333333|3|3|1
12:29:00|1|0,25|0,25|4|4|1
12:29:04|1,25|0|0,2|0|6,25|0
12:30:18|1,25|0|0|0|0|0
12:30:22|1,333333333|-0,333333333|-0,25|-4|-5,333333333|1,333333333
12:30:27|1,5|-0,5|-0,333333333|-3|-4,5|1,5
12:30:31|2|-1|-0,5|-2|-4|2
12:30:35|1|0|-1|0|-1|0
12:34:05|1|0|0|0|0|0
